"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE"
"465","31012",1,0,0,0,1,354990,2135,"3101200","03","01","Cnpj",35,"07",12227788,7,7,0,3549904,"SP","Vale do Paraíba Paulista","São José dos Campos","São José dos Campos","-23.1896","-45.8841"
"466","31012",1,0,0,0,1,354390,2062,"3101200","03","01","Cnpj",35,"07",13504810,8,8,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546"
"467","31012",1,0,0,0,0,350950,2135,"3101200","02","01","Cnpj",35,"07",13052530,1,1,0,3509502,"SP","Campinas","Campinas","Campinas","-22.9053","-47.0659"
"468","31012",1,0,0,0,1,354780,2305,"3101200","05","01","Cnpj",35,"07",9130400,32,32,0,3547809,"SP","Metropolitana de São Paulo","São Paulo","Santo André","-23.6737","-46.5432"
"469","31012",1,0,0,0,1,351780,2062,"3101200","02","01","Cnpj",35,"07",16980000,1,1,0,3517802,"SP","Araçatuba","Andradina","Guaraçaí","-21.0292","-51.2119"
"470","31012",1,0,0,0,1,354870,2305,"3101200","04","01","Cnpj",35,"07",9842005,10,10,0,3548708,"SP","Metropolitana de São Paulo","São Paulo","São Bernardo do Campo","-23.6914","-46.5646"
"471","31012",1,0,0,0,1,352340,2135,"3101200","03","01","Cnpj",35,"07",13254850,7,7,0,3523404,"SP","Macro Metropolitana Paulista","Bragança Paulista","Itatiba","-23.0035","-46.8464"
"472","20622",1,0,0,0,1,355030,2062,"2062200","02","01","Cnpj",35,"10",2188070,3,3,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"473","31012",1,0,0,0,1,352360,2135,"3101200","03","01","Cnpj",35,"07",13530000,6,6,0,3523602,"SP","Piracicaba","Rio Claro","Itirapina","-22.2562","-47.8166"
"474","31012",1,0,0,0,1,354980,2062,"3101200","02","01","Cnpj",35,"07",15047105,1,1,0,3549805,"SP","São José do Rio Preto","São José do Rio Preto","São José do Rio Preto","-20.8113","-49.3758"
"475","31012",1,0,0,0,0,354780,2062,"3101200","02","01","Cnpj",35,"07",9130410,2,2,0,3547809,"SP","Metropolitana de São Paulo","São Paulo","Santo André","-23.6737","-46.5432"
"476","31012",1,0,0,0,1,355410,2135,"3101200","02","01","Cnpj",35,"07",12092350,1,1,0,3554102,"SP","Vale do Paraíba Paulista","São José dos Campos","Taubaté","-23.0104","-45.5593"
"477","31012",1,0,0,0,1,350590,2135,"3101200","02","01","Cnpj",35,"07",99999999,1,1,0,3505906,"SP","Ribeirão Preto","Batatais","Batatais","-20.8929","-47.5921"
"478","31012",1,0,0,0,1,354890,2062,"3101200","02","01","Cnpj",35,"07",13570786,1,1,0,3548906,"SP","Araraquara","São Carlos","São Carlos","-22.0174","-47.886"
"479","31012",1,0,0,0,1,355620,2305,"3101200","02","01","Cnpj",35,"07",13272315,2,2,0,3556206,"SP","Campinas","Campinas","Valinhos","-22.9698","-46.9974"
"480","31012",1,0,0,0,1,355030,2062,"3101200","04","01","Cnpj",35,"07",2977040,10,10,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"481","31012",1,0,0,0,1,354990,2062,"3101200","05","01","Cnpj",35,"07",12231550,27,27,0,3549904,"SP","Vale do Paraíba Paulista","São José dos Campos","São José dos Campos","-23.1896","-45.8841"
"482","33295",1,0,0,0,1,353440,2240,"3329599","01","01","Cnpj",35,"10",6260130,0,0,0,3534401,"SP","Metropolitana de São Paulo","Osasco","Osasco","-23.5324","-46.7916"
"483","33295",1,0,0,0,0,355030,2062,"3329501","02","01","Cnpj",35,"07",99999999,1,1,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"484","33295",1,0,0,0,0,352690,2135,"3329501","01","01","Cnpj",35,"07",13485074,0,0,0,3526902,"SP","Piracicaba","Limeira","Limeira","-22.566","-47.397"
"485","31012",1,0,0,0,1,352310,2305,"3101200","01","01","Cnpj",35,"07",8565200,0,0,0,3523107,"SP","Metropolitana de São Paulo","Mogi das Cruzes","Itaquaquecetuba","-23.4835","-46.3457"
"486","31012",1,0,0,0,1,355030,2062,"3101200","05","01","Cnpj",35,"07",5044050,23,23,0,3550308,"SP","Metropolitana de São Paulo","São Paulo","São Paulo","-23.5329","-46.6395"
"487","31012",1,0,0,0,1,355620,2062,"3101200","02","01","Cnpj",35,"07",13277590,2,2,0,3556206,"SP","Campinas","Campinas","Valinhos","-22.9698","-46.9974"
"488","31012",1,0,0,0,1,353030,2062,"3101200","04","01","Cnpj",35,"07",99999999,10,10,0,3530300,"SP","São José do Rio Preto","São José do Rio Preto","Mirassol","-20.8169","-49.5206"
"489","31012",1,0,0,0,0,352450,2062,"3101200","07","01","Cnpj",35,"07",15155000,155,155,0,3524501,"SP","São José do Rio Preto","São José do Rio Preto","Jaci","-20.8805","-49.5797"
"490","20622",1,0,0,0,0,352400,2062,"2062200","05","01","Cnpj",35,"10",13295000,32,32,0,3524006,"SP","Macro Metropolitana Paulista","Jundiaí","Itupeva","-23.1526","-47.0593"
"491","31012",1,0,0,0,1,352340,2305,"3101200","03","01","Cnpj",35,"07",13251716,6,6,0,3523404,"SP","Macro Metropolitana Paulista","Bragança Paulista","Itatiba","-23.0035","-46.8464"
"492","33295",1,0,0,0,1,352570,2135,"3329501","02","01","Cnpj",35,"07",15200000,2,2,0,3525706,"SP","São José do Rio Preto","São José do Rio Preto","José Bonifácio","-21.0551","-49.6892"
"493","31012",1,0,0,0,1,352340,2135,"3101200","01","01","Cnpj",35,"07",13255191,0,0,0,3523404,"SP","Macro Metropolitana Paulista","Bragança Paulista","Itatiba","-23.0035","-46.8464"
"494","31012",1,0,0,0,1,352500,2062,"3101200","03","01","Cnpj",35,"07",6624480,6,6,0,3525003,"SP","Metropolitana de São Paulo","Osasco","Jandira","-23.5275","-46.9023"
"495","33295",1,0,0,0,0,351780,2135,"3329501","01","01","Cnpj",35,"07",16980000,0,0,0,3517802,"SP","Araçatuba","Andradina","Guaraçaí","-21.0292","-51.2119"
"496","31012",1,0,0,0,1,351300,2062,"3101200","03","01","Cnpj",35,"07",6705110,5,5,0,3513009,"SP","Metropolitana de São Paulo","Itapecerica da Serra","Cotia","-23.6022","-46.919"
