"","CNAE 2.0 Classe","Ind Atividade Ano","Ind CEI Vinculado","Ind Estab Participa PAT","Ind Rais Negativa","Ind Simples","Município","Natureza Jurídica","CNAE 2.0 Subclasse","Tamanho Estabelecimento","Tipo Estab","Tipo Estab_1","UF","IBGE Subsetor","CEP Estab","Qtd_Vinc_CLT","Qtd_Vinc_Ativos","Qtd_Vinc_Estat","CO_MUNICIPIO","SGL_UF","DS_MESORREGIAO","DS_MICRORREGIAO","NOME_MUNICIPIO","LATITUDE","LONGITUDE","OC_estado","OC_cidade","OC_bairro","OC_cep","OC_logradouro","OC_latitude","OC_longitude","OC_altitude","OC_ddd","OC_cod_IBGE"
"18","23427",1,0,0,0,0,354390,2062,"2342701","07","01","Cnpj",35,"02",13504810,185,185,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Chácara Bom Retiro","13504810","Rodovia Washington Luiz",-22.4036677,-47.5852675,624.3,19,"3543907"
"19","23427",1,0,0,0,1,354390,2062,"2342702","03","01","Cnpj",35,"02",13500970,8,8,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Centro","13500970","Rua 1 1171",-22.411184,-47.5573267,619.2,19,"3543907"
"20","23427",1,0,0,0,0,351240,2062,"2342701","09","01","Cnpj",35,"02",13490000,694,694,0,3512407,"SP","Piracicaba","Limeira","Cordeirópolis","-22.4778","-47.4519","SP","Cordeirópolis",NA,"13490000",NA,-22.4782628,-47.4523359,643.2,19,"3512407"
"21","23427",1,0,0,0,1,353870,2062,"2342702","03","01","Cnpj",35,"02",13405190,8,8,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Monumento","13405190","Rua Professor Leonel Faggin",-22.7342864,-47.6480644,530,19,"3538709"
"22","23427",1,0,0,0,1,353870,2062,"2342702","04","01","Cnpj",35,"02",13405190,11,11,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Monumento","13405190","Rua Professor Leonel Faggin",-22.7342864,-47.6480644,530,19,"3538709"
"23","23427",1,0,0,0,0,353870,2135,"2342702","02","01","Cnpj",35,"02",13401630,4,4,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Campestre","13401630","Avenida Laranjal Paulista",-22.8119233,-47.6901231,590.9,19,"3538709"
"24","23427",1,0,0,0,0,354390,2062,"2342701","10","01","Cnpj",35,"02",13500270,1512,1512,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Vila do Rádio","13500270","Rua 14",-22.4149023,-47.5651394,616.6,19,"3543907"
"25","23427",1,0,0,0,1,354390,2062,"2342702","03","01","Cnpj",35,"02",13504750,7,7,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Batovi","13504750","Rua 1",-22.3895368,-47.6140046,559.8,19,"3543907"
"26","23427",1,0,0,0,1,353870,2062,"2342702","03","01","Cnpj",35,"02",13405190,8,8,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Monumento","13405190","Rua Professor Leonel Faggin",-22.7342864,-47.6480644,530,19,"3538709"
"27","23427",1,0,0,0,0,354670,2062,"2342701","09","01","Cnpj",35,"02",13510000,668,668,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"28","23427",1,0,0,0,0,354670,2062,"2342701","08","01","Cnpj",35,"02",13510000,394,394,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"29","23427",1,0,0,0,0,354390,2062,"2342701","08","01","Cnpj",35,"02",13504810,511,511,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Chácara Bom Retiro","13504810","Rodovia Washington Luiz",-22.4036677,-47.5852675,624.3,19,"3543907"
"30","23427",1,0,0,0,1,354390,2062,"2342702","03","01","Cnpj",35,"02",13500970,7,7,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Centro","13500970","Rua 1 1171",-22.411184,-47.5573267,619.2,19,"3543907"
"31","23427",1,0,1,0,1,353870,2062,"2342702","05","01","Cnpj",35,"02",13401620,38,38,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Campestre","13401620","Rodovia Cornélio Pires",-22.77396,-47.65827,579.9,19,"3538709"
"32","23427",1,0,0,0,0,354390,2062,"2342701","06","01","Cnpj",35,"02",13504810,106,106,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Chácara Bom Retiro","13504810","Rodovia Washington Luiz",-22.4036677,-47.5852675,624.3,19,"3543907"
"33","23427",1,0,0,0,0,352690,2062,"2342701","07","01","Cnpj",35,"02",13480001,157,157,0,3526902,"SP","Piracicaba","Limeira","Limeira","-22.566","-47.397","SP","Limeira","Centro","13480001","Rua Senador Vergueiro",-22.5638096,-47.4023998,587.5,19,"3526902"
"34","23427",1,0,1,0,1,353870,2062,"2342702","03","01","Cnpj",35,"02",13433899,8,8,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Área Rural de Piracicaba","13433899","Área Rural",-22.7342864,-47.6480644,530,19,"3538709"
"35","23427",1,0,0,0,0,354390,2062,"2342701","02","01","Cnpj",35,"02",13504810,1,1,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Chácara Bom Retiro","13504810","Rodovia Washington Luiz",-22.4036677,-47.5852675,624.3,19,"3543907"
"36","23427",1,0,0,0,1,354390,2135,"2342702","02","01","Cnpj",35,"02",13500970,2,2,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Centro","13500970","Rua 1 1171",-22.411184,-47.5573267,619.2,19,"3543907"
"37","23427",1,0,0,0,1,353870,2240,"2342702","05","01","Cnpj",35,"02",13400970,36,36,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Centro","13400970","Avenida Armando de Salles Oliveira 1136",-22.721112,-47.6449525,517,19,"3538709"
"38","23427",1,0,1,0,1,353870,2062,"2342702","04","01","Cnpj",35,"02",13405190,12,12,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Monumento","13405190","Rua Professor Leonel Faggin",-22.7342864,-47.6480644,530,19,"3538709"
"39","23427",1,0,0,0,0,354670,2062,"2342701","07","01","Cnpj",35,"02",13510000,225,225,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"40","23427",1,0,0,0,0,354670,2062,"2342701","08","01","Cnpj",35,"02",13510000,275,275,0,3546702,"SP","Piracicaba","Limeira","Santa Gertrudes","-22.4572","-47.5272","SP","Santa Gertrudes",NA,"13510000",NA,-22.4573223,-47.5325941,597.9,19,"3546702"
"41","23427",1,0,0,0,0,351240,2062,"2342701","01","01","Cnpj",35,"02",13490000,0,0,0,3512407,"SP","Piracicaba","Limeira","Cordeirópolis","-22.4778","-47.4519","SP","Cordeirópolis",NA,"13490000",NA,-22.4782628,-47.4523359,643.2,19,"3512407"
"42","23427",1,0,0,0,0,353870,2062,"2342702","04","01","Cnpj",35,"02",13401630,11,11,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Campestre","13401630","Avenida Laranjal Paulista",-22.8119233,-47.6901231,590.9,19,"3538709"
"43","23427",1,0,0,0,1,353870,2135,"2342702","04","01","Cnpj",35,"02",13401630,10,10,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Campestre","13401630","Avenida Laranjal Paulista",-22.8119233,-47.6901231,590.9,19,"3538709"
"44","23427",1,0,0,0,1,353870,2062,"2342702","03","01","Cnpj",35,"02",13405190,6,6,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Monumento","13405190","Rua Professor Leonel Faggin",-22.7342864,-47.6480644,530,19,"3538709"
"45","23427",1,0,0,0,0,351240,2062,"2342701","07","01","Cnpj",35,"02",13490000,194,194,0,3512407,"SP","Piracicaba","Limeira","Cordeirópolis","-22.4778","-47.4519","SP","Cordeirópolis",NA,"13490000",NA,-22.4782628,-47.4523359,643.2,19,"3512407"
"46","23427",1,0,0,0,0,351240,2062,"2342701","09","01","Cnpj",35,"02",13490000,656,656,0,3512407,"SP","Piracicaba","Limeira","Cordeirópolis","-22.4778","-47.4519","SP","Cordeirópolis",NA,"13490000",NA,-22.4782628,-47.4523359,643.2,19,"3512407"
"47","23427",1,0,0,0,0,351240,2062,"2342701","07","01","Cnpj",35,"02",13490000,249,249,0,3512407,"SP","Piracicaba","Limeira","Cordeirópolis","-22.4778","-47.4519","SP","Cordeirópolis",NA,"13490000",NA,-22.4782628,-47.4523359,643.2,19,"3512407"
"48","23427",1,0,0,0,1,354390,2135,"2342702","03","01","Cnpj",35,"02",13504660,5,5,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Jardim Panorama","13504660","Rua 27 PA",-22.3876723,-47.5921216,599.7,19,"3543907"
"49","23427",1,0,0,0,1,353870,2062,"2342702","04","01","Cnpj",35,"02",13400970,10,10,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Centro","13400970","Avenida Armando de Salles Oliveira 1136",-22.721112,-47.6449525,517,19,"3538709"
"50","23427",1,0,0,0,0,352690,2062,"2342701","08","01","Cnpj",35,"02",13482386,359,359,0,3526902,"SP","Piracicaba","Limeira","Limeira","-22.566","-47.397","SP","Limeira","Jardim Senador Vergueiro","13482386","Travessa Dois",-22.5834728,-47.4242611,626.3,19,"3526902"
"51","23427",1,0,1,0,1,353870,2135,"2342702","04","01","Cnpj",35,"02",13400970,11,11,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Centro","13400970","Avenida Armando de Salles Oliveira 1136",-22.721112,-47.6449525,517,19,"3538709"
"52","23427",1,0,0,1,1,354390,2135,"2342702","01","01","Cnpj",35,"02",13508000,0,0,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","23427",9,0,0,1,0,353870,2062,"2342701","01","01","Cnpj",35,"02",13405404,0,0,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Algodoal","13405404","Travessa Colonial",-22.7011714,-47.6587331,527.2,19,"3538709"
"54","23427",9,0,0,1,0,354390,2062,"2342702","01","01","Cnpj",35,"02",13509000,0,0,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","23427",9,0,0,1,0,351240,2062,"2342701","01","01","Cnpj",35,"02",13490000,0,0,0,3512407,"SP","Piracicaba","Limeira","Cordeirópolis","-22.4778","-47.4519","SP","Cordeirópolis",NA,"13490000",NA,-22.4782628,-47.4523359,643.2,19,"3512407"
"56","23427",1,0,0,1,1,354390,2135,"2342702","01","01","Cnpj",35,"02",13500970,0,0,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Centro","13500970","Rua 1 1171",-22.411184,-47.5573267,619.2,19,"3543907"
"57","23427",0,0,0,1,0,354390,2062,"2342702","01","01","Cnpj",35,"02",13501500,0,0,0,3543907,"SP","Piracicaba","Rio Claro","Rio Claro","-22.3984","-47.5546","SP","Rio Claro","Município","13501500","Avenida Presidente Kennedy",-22.4149023,-47.5651394,616.6,19,"3543907"
"58","23427",1,0,0,1,1,353870,2062,"2342702","01","01","Cnpj",35,"02",13405190,0,0,0,3538709,"SP","Piracicaba","Piracicaba","Piracicaba","-22.7338","-47.6476","SP","Piracicaba","Jardim Monumento","13405190","Rua Professor Leonel Faggin",-22.7342864,-47.6480644,530,19,"3538709"
