"","CO_MUNICIPIO","NOME_MUNICIPIO.x","QTD"
"99",3508702,"Caconde",1
"100",3508801,"Cafelândia",1
"101",3508900,"Caiabu",0
"102",3509007,"Caieiras",14
"103",3509106,"Caiuá",0
"104",3509205,"Cajamar",22
"105",3509254,"Cajati",1
"106",3509304,"Cajobi",0
"107",3509403,"Cajuru",6
"108",3509452,"Campina do Monte Alegre",0
"109",3509502,"Campinas",184
"110",3509601,"Campo Limpo Paulista",13
"111",3509700,"Campos do Jordão",6
"112",3509809,"Campos Novos Paulista",0
"113",3509908,"Cananéia",0
"114",3509957,"Canas",0
"115",3510005,"Cândido Mota",7
"116",3510104,"Cândido Rodrigues",0
"117",3510153,"Canitar",0
"118",3510203,"Capão Bonito",7
"119",3510302,"Capela do Alto",0
"120",3510401,"Capivari",25
"121",3510500,"Caraguatatuba",7
"122",3510609,"Carapicuíba",56
"123",3510708,"Cardoso",3
"124",3510807,"Casa Branca",2
"125",3510906,"Cássia dos Coqueiros",0
"126",3511003,"Castilho",1
"127",3511102,"Catanduva",33
"128",3511201,"Catiguá",2
"129",3511300,"Cedral",10
"130",3511409,"Cerqueira César",1
"131",3511508,"Cerquilho",11
"132",3511607,"Cesário Lange",1
"133",3511706,"Charqueada",1
"134",3557204,"Chavantes",3
"135",3511904,"Clementina",1
"136",3512001,"Colina",2
"137",3512100,"Colômbia",0
"138",3512209,"Conchal",17
"139",3512308,"Conchas",7
"140",3512407,"Cordeirópolis",5
"141",3512506,"Coroados",0
"142",3512605,"Coronel Macedo",0
"143",3512704,"Corumbataí",2
"144",3512803,"Cosmópolis",3
"145",3512902,"Cosmorama",4
"146",3513009,"Cotia",64
"147",3513108,"Cravinhos",5
"148",3513207,"Cristais Paulista",1
"149",3513306,"Cruzália",0
"150",3513405,"Cruzeiro",6
"151",3513504,"Cubatão",1
"152",3513603,"Cunha",4
"153",3513702,"Descalvado",6
"154",3513801,"Diadema",68
"155",3513850,"Dirce Reis",0
"156",3513900,"Divinolândia",5
"157",3514007,"Dobrada",0
"158",3514106,"Dois Córregos",19
"159",3514205,"Dolcinópolis",2
"160",3514304,"Dourado",16
"161",3514403,"Dracena",14
"162",3514502,"Duartina",8
"163",3514601,"Dumont",3
"164",3514700,"Echaporã",1
"165",3514809,"Eldorado",0
"166",3514908,"Elias Fausto",5
"167",3514924,"Elisiário",0
"168",3514957,"Embaúba",0
"169",3515004,"Embu das Artes",33
"170",3515103,"Embu-Guaçu",12
"171",3515129,"Emilianópolis",0
"172",3515152,"Engenheiro Coelho",0
"173",3515186,"Espírito Santo do Pinhal",8
"174",3515194,"Espírito Santo do Turvo",1
"175",3557303,"Estiva Gerbi",3
"176",3515301,"Estrela do Norte",0
"177",3515202,"Estrela d'Oeste",3
"178",3515350,"Euclides da Cunha Paulista",1
"179",3515400,"Fartura",2
"180",3515608,"Fernando Prestes",1
"181",3515509,"Fernandópolis",18
"182",3515657,"Fernão",1
"183",3515707,"Ferraz de Vasconcelos",14
"184",3515806,"Flora Rica",0
"185",3515905,"Floreal",5
"186",3516002,"Flórida Paulista",0
"187",3516101,"Florínea",0
"188",3516200,"Franca",76
"189",3516309,"Francisco Morato",5
"190",3516408,"Franco da Rocha",6
"191",3516507,"Gabriel Monteiro",0
"192",3516606,"Gália",4
"193",3516705,"Garça",9
"194",3516804,"Gastão Vidigal",0
"195",3516853,"Gavião Peixoto",1
"196",3516903,"General Salgado",2
"197",3517000,"Getulina",0
"198",3517109,"Glicério",0
"199",3517208,"Guaiçara",0
"200",3517307,"Guaimbê",0
"201",3517406,"Guaíra",4
"202",3517505,"Guapiaçu",12
"203",3517604,"Guapiara",0
"204",3517703,"Guará",4
"205",3517802,"Guaraçaí",20
"206",3517901,"Guaraci",2
"207",3518008,"Guarani d'Oeste",0
"208",3518107,"Guarantã",3
"209",3518206,"Guararapes",7
"210",3518305,"Guararema",10
"211",3518404,"Guaratinguetá",5
"212",3518503,"Guareí",0
"213",3518602,"Guariba",3
"214",3518701,"Guarujá",24
"215",3518800,"Guarulhos",129
"216",3518859,"Guatapará",0
"217",3518909,"Guzolândia",0
"218",3519006,"Herculândia",2
"219",3519055,"Holambra",1
"220",3519071,"Hortolândia",45
"221",3519105,"Iacanga",1
